image,method,sensitivity,specificity,f1,auc
21_training.tif,niblack,0.8462474645030083,0.7272903707389862,0.41590653068955546,0.7867689176210161
21_training.tif,sauvola,0.9894523326571607,0.04023886538940015,0.20165024141808321,0.5148455990233005
22_training.tif,niblack,0.8041610738254764,0.7519935720566349,0.4660398090255832,0.778077322941071
22_training.tif,sauvola,0.9952348993288257,0.022401786887399706,0.23453309662292268,0.5088183431081295
23_training.tif,niblack,0.8208989591967937,0.6914221229894433,0.3452717622903188,0.756160541093139
23_training.tif,sauvola,0.9938288661692459,0.03798075293137583,0.17840239743722228,0.5159048095503338
24_training.tif,niblack,0.7965981944262517,0.767549113244082,0.5401875626613669,0.7820736538351792
24_training.tif,sauvola,0.9866282873217066,0.06126293460537879,0.2970924277046726,0.5239456109635557
25_training.tif,niblack,0.7392306720565709,0.7122709480934873,0.42031262625809174,0.7257508100750426
25_training.tif,sauvola,0.9972208185952186,0.009601528886345238,0.24567122722799045,0.5034111737407977
26_training.tif,niblack,0.8030622636019492,0.7139466385959194,0.41622997172478793,0.7585044510989508
26_training.tif,sauvola,0.9987998254291169,0.0031377153383671578,0.2180165518883839,0.5009687703837603
27_training.tif,niblack,0.8018644009493722,0.7370129053357112,0.44549554714673395,0.7694386531425572
27_training.tif,sauvola,0.9923635237865573,0.025528917511509017,0.22932341286401883,0.5089462206490503
28_training.tif,niblack,0.7799683318326933,0.7482139013314981,0.4719563399994364,0.7640911165821097
28_training.tif,sauvola,0.9951255860163,0.017122971740177653,0.2503690858388208,0.5061242788782543
29_training.tif,niblack,0.8051770134832791,0.7284224661899739,0.42838373085517545,0.7667997398366428
29_training.tif,sauvola,0.9976205926886943,0.003818190017587707,0.21770206003485185,0.500719391353159
30_training.tif,niblack,0.7994357924024887,0.7088121083314264,0.39327401999923955,0.7541239503669747
30_training.tif,sauvola,0.997488116860494,0.01132673227994552,0.2058455281311057,0.504407424570239
31_training.tif,niblack,0.8512338543498592,0.6897076090931806,0.3343466845648183,0.770470731721543
31_training.tif,sauvola,0.9879881389153647,0.04890184982002248,0.16575251794921522,0.5184449943677186
32_training.tif,niblack,0.824714349309956,0.7433834373800395,0.44464667880072806,0.7840488933450149
32_training.tif,sauvola,0.994286986199696,0.02533486877992593,0.21725773112309002,0.5098109274898295
33_training.tif,niblack,0.8307282881666918,0.7351772365325565,0.43419828185763126,0.7829527623496415
33_training.tif,sauvola,0.9949023576595452,0.038526004804559665,0.21532845234956496,0.5167141812320711
34_training.tif,niblack,0.8115959983894195,0.7190342590924264,0.4635004864243389,0.7653151287409373
34_training.tif,sauvola,0.9973983336946449,0.030923270958276336,0.25483306823667196,0.5141608023264762
35_training.tif,niblack,0.8382496854466365,0.748083242059142,0.4669054664382495,0.7931664637529058
35_training.tif,sauvola,0.9984621836991123,0.007807711245314832,0.22436189429042644,0.5031349474722311
36_training.tif,niblack,0.8045089733585776,0.7697992505213384,0.5306899023879116,0.7871541119399711
36_training.tif,sauvola,0.9950674395273383,0.01040071498382396,0.2736860662083132,0.5027340772555949
37_training.tif,niblack,0.8229603689192183,0.734029090725752,0.45067881894996675,0.7784947298225012
37_training.tif,sauvola,0.9975035539682744,0.014469737074289675,0.22734654365134244,0.5059866455212993
38_training.tif,niblack,0.8536362678652648,0.7524817064228497,0.47790272480635393,0.8030589871440741
38_training.tif,sauvola,0.9960670014397234,0.026928347838399435,0.2275900250336992,0.511497674639079
39_training.tif,niblack,0.8526527444616603,0.7342802041062281,0.458535289821393,0.7934664742839611
39_training.tif,sauvola,0.9896994496965927,0.03186648720318197,0.22519474577699652,0.5107829684499049
40_training.tif,niblack,0.8589199999999656,0.7462940774555105,0.4395026352146549,0.802607038727757
40_training.tif,sauvola,0.99991999999996,0.0014803885648647774,0.19865460339408678,0.5007001942824324
